id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;operatorname;shortname;bookingrules;mode;pointgeo;nom_commune;code_insee
IDFM:C01742;A;IDFM:monomodalStopPlace:58875;Rueil-Malmaison;2.172366417897185;48.88767250064626;SNCF;A;;RapidTransit;48.88767250064626, 2.172366417897185;Rueil-Malmaison;92063
IDFM:C01742;A;IDFM:monomodalStopPlace:43237;Le Vésinet - Le Pecq;2.122132232303764;48.89794951079969;SNCF;A;;RapidTransit;48.89794951079969, 2.122132232303764;Le Vésinet;78650
IDFM:C01742;A;IDFM:monomodalStopPlace:43094;Boissy-Saint-Léger;2.504498176690716;48.752267307821874;SNCF;A;;RapidTransit;48.752267307821874, 2.504498176690716;Boissy-Saint-Léger;94004
IDFM:C01742;A;IDFM:monomodalStopPlace:58792;Sucy - Bonneuil;2.5074994611650823;48.77206393780998;SNCF;A;;RapidTransit;48.77206393780998, 2.5074994611650823;Sucy-en-Brie;94071
IDFM:C01742;A;IDFM:monomodalStopPlace:47886;Nogent-sur-Marne;2.471683791180998;48.834306538503405;SNCF;A;;RapidTransit;48.834306538503405, 2.471683791180998;Nogent-sur-Marne;94052
IDFM:C01742;A;IDFM:monomodalStopPlace:47238;Fontenay-sous-Bois;2.463537806527943;48.8437885964859;SNCF;A;;RapidTransit;48.8437885964859, 2.463537806527943;Fontenay-sous-Bois;94033
IDFM:C01742;A;IDFM:monomodalStopPlace:58937;Noisy - Champs;2.580103342831972;48.84289619599068;SNCF;A;;RapidTransit;48.84289619599068, 2.580103342831972;Noisy-le-Grand;93051
IDFM:C01742;A;IDFM:monomodalStopPlace:43172;Neuilly-Plaisance;2.5145898211367705;48.85252451313788;SNCF;A;;RapidTransit;48.85252451313788, 2.5145898211367705;Neuilly-Plaisance;93049
IDFM:C01742;A;IDFM:monomodalStopPlace:45102;Châtelet - Les Halles;2.34697651043533;48.86174503191322;SNCF;A;;RapidTransit;48.86174503191322, 2.34697651043533;Paris;75056
IDFM:C01742;A;IDFM:monomodalStopPlace:44559;Cergy Préfecture;2.0797809490013073;49.036306683133965;SNCF;A;;RapidTransit;49.036306683133965, 2.0797809490013073;Cergy;95127
IDFM:C01743;B;IDFM:monomodalStopPlace:43194;Sevran - Livry;2.5352889927291447;48.93640164880271;SNCF;B;;RapidTransit;48.93640164880271, 2.5352889927291447;Sevran;93071
IDFM:C01743;B;IDFM:monomodalStopPlace:46163;Le Blanc-Mesnil;2.4753884360764298;48.93230698220945;SNCF;B;;RapidTransit;48.93230698220945, 2.4753884360764298;Le Blanc-Mesnil;93007
IDFM:C01743;B;IDFM:monomodalStopPlace:45102;Châtelet - Les Halles;2.34697651043533;48.86174503191322;SNCF;B;;RapidTransit;48.86174503191322, 2.34697651043533;Paris;75056
IDFM:C01743;B;IDFM:monomodalStopPlace:473890;Denfert-Rochereau;2.333220634641387;48.83318643678081;SNCF;B;;RapidTransit;48.83318643678081, 2.333220634641387;Paris;75056
IDFM:C01743;B;IDFM:monomodalStopPlace:43228;Les Baconnets;2.288108127151424;48.73984612871272;SNCF;B;;RapidTransit;48.73984612871272, 2.288108127151424;Antony;92002
IDFM:C01743;B;IDFM:monomodalStopPlace:474069;Lozère;2.212717641845953;48.705912413627026;SNCF;B;;RapidTransit;48.705912413627026, 2.212717641845953;Palaiseau;91477
IDFM:C01743;B;IDFM:monomodalStopPlace:43232;Le Guichet;2.1929739951487424;48.705497380193584;SNCF;B;;RapidTransit;48.705497380193584, 2.1929739951487424;Orsay;91471
IDFM:C01743;B;IDFM:monomodalStopPlace:47888;Gif-sur-Yvette;2.13649439862523;48.698175579920274;SNCF;B;;RapidTransit;48.698175579920274, 2.13649439862523;Gif-sur-Yvette;91272
